Model,Accuracy,F1 Score,ROC-AUC
Logistic Regression,0.7455968688845401,0.23529411764705882,0.8439094650205762
Decision Tree,0.7729941291585127,0.24675324675324675,0.8204938271604938
Random Forest,0.9500978473581213,0.0,0.7637860082304526
